search_role,title,company,location,salary_min,salary_max,description,category,posted_date,url,description_clean,skills_found,skill_count,skills_found_str
data analyst,S&C GN - Data&AI - Resources - Analyst,Accenture,"Hyderabad, Telangana",,,"This job is with Accenture, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. TBD Qualifications: TBD",HR & Recruitment Jobs,2026-07-23T22:17:13Z,https://www.adzuna.in/land/ad/5812528386?se=pARGm-uH8RGEopbyd0f8Hw&utm_medium=api&utm_source=3a1fdfd4&v=4E012703ED28543D22BDCFA03CB3E8DAD706C43B,"this job is with accenture, an inclusive employer and a member of mygwork – the largest global platform for the lgbtq business community. please do not contact the recruiter directly. tbd qualifications: tbd",[],0,
data analyst,Customer Experience Manager,NR Consulting,"Bangalore, Karnataka",,,"Job Description:- Manager / Senior Manager – Customer & Marketing Analytics Location: India As a Manager/Senior Manager, you will: 1. Work with clients leading marketing & customer roles at Fortune 100 Retailers 2. Work closely with stakeholders across the organization to gather requirements and understand the underlying business problems. Serve as the bridge between business needs and analytical solutions. 3. Collaboratively work with leadership and SMEs to create innovative solutions for busi…",IT Jobs,2026-07-22T22:52:54Z,https://www.adzuna.in/land/ad/5811114866?se=pARGm-uH8RGEopbyd0f8Hw&utm_medium=api&utm_source=3a1fdfd4&v=18C0756511F4BF38B6DABB83F4DD0AFE6B73610D,"job description:- manager / senior manager – customer & marketing analytics location: india as a manager/senior manager, you will: 1. work with clients leading marketing & customer roles at fortune 100 retailers 2. work closely with stakeholders across the organization to gather requirements and understand the underlying business problems. serve as the bridge between business needs and analytical solutions. 3. collaboratively work with leadership and smes to create innovative solutions for busi…",[],0,
data analyst,Senior Process Analyst - Celonis,Springer Nature,"Pune, Maharashtra",,,"This job is with Springer Nature, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Title: Senior Process Analyst (Celonis) Location(s): Pune Application Deadline: NA About Springer Nature Springer Nature is one of the leading publishers of research in the world. We publish the largest number of journals and books and are a pioneer in open research. Through our leading brands, trusted f…",IT Jobs,2026-07-03T00:54:29Z,https://www.adzuna.in/land/ad/5785772798?se=pARGm-uH8RGEopbyd0f8Hw&utm_medium=api&utm_source=3a1fdfd4&v=44FC35FD94A09F05508B403DF7DBB68AB707CA70,"this job is with springer nature, an inclusive employer and a member of mygwork – the largest global platform for the lgbtq business community. please do not contact the recruiter directly. job title: senior process analyst (celonis) location(s): pune application deadline: na about springer nature springer nature is one of the leading publishers of research in the world. we publish the largest number of journals and books and are a pioneer in open research. through our leading brands, trusted f…",[],0,
data analyst,Data Analyst,Not specified,"Thiruvananthapuram, Kerala",,,Immediate requirement for the post of Data Analyst on rotation Shift (Male or Female). Persons only willing to work in both shifts need to apply.careers.coretechgmail.comorplease contact 9.4.nine.6.8.1.5.6.3.0,IT Jobs,2024-05-10T07:38:46Z,https://www.adzuna.in/details/4686704238?utm_medium=api&utm_source=3a1fdfd4,immediate requirement for the post of data analyst on rotation shift (male or female). persons only willing to work in both shifts need to apply.careers.coretechgmail.comorplease contact 9.4.nine.6.8.1.5.6.3.0,[],0,
data analyst,Data Analyst,SkySun,India,,,"Role Overview We are looking for a Data Analyst with strong expertise in Microsoft Excel who can efficiently work with large datasets, formulas, and analytical models. The ideal candidate should be able to transform raw data into meaningful insights , build efficient spreadsheets, and support business decisions through structured analysis and reporting. This role requires someone who is highly detail-oriented, analytical, and extremely efficient in Excel-based data handling. Key Responsibilitie…",IT Jobs,2026-03-27T13:39:38Z,https://www.adzuna.in/details/5680120020?utm_medium=api&utm_source=3a1fdfd4,"role overview we are looking for a data analyst with strong expertise in microsoft excel who can efficiently work with large datasets, formulas, and analytical models. the ideal candidate should be able to transform raw data into meaningful insights , build efficient spreadsheets, and support business decisions through structured analysis and reporting. this role requires someone who is highly detail-oriented, analytical, and extremely efficient in excel-based data handling. key responsibilitie…",['excel'],1,excel
data analyst,Data Analyst,LRN Corporation,India,,,"Position: Data Analyst Location: Mumbai, India About LRN: LRN is the world’s leading dedicated ethics and compliance SaaS company, helping more than 30 million people every year navigate complex regional and global regulatory environments and build ethical, responsible cultures. With over 3,000 clients across the US, EMEA, APAC, and Latin America—including some of the world’s most respected and successful brands—we’re proud to be the long-term partner trusted to reduce organizational risk and d…",IT Jobs,2026-04-09T01:03:12Z,https://www.adzuna.in/details/5693524382?utm_medium=api&utm_source=3a1fdfd4,"position: data analyst location: mumbai, india about lrn: lrn is the world’s leading dedicated ethics and compliance saas company, helping more than 30 million people every year navigate complex regional and global regulatory environments and build ethical, responsible cultures. with over 3,000 clients across the us, emea, apac, and latin america—including some of the world’s most respected and successful brands—we’re proud to be the long-term partner trusted to reduce organizational risk and d…",[],0,
data analyst,Data Analyst,Cloudester Software LLP,"Sevasi, Vadodara",,,"We are looking for a Data Analyst with 2–3 years of experience for a 3-month contract . You will be responsible for extracting web data, organizing it in Excel, and communicating findings clearly to our team. Role Details Duration: 3 Months Experience Required: 2–3 years Location: Vadodara Key Responsibilities Extract data from various websites using web scraping tools. Clean, organize, and analyze the collected datasets. Write database queries to pull and manage information. Present data findi…",IT Jobs,2026-07-09T02:21:15Z,https://www.adzuna.in/details/5793077025?utm_medium=api&utm_source=3a1fdfd4,"we are looking for a data analyst with 2–3 years of experience for a 3-month contract . you will be responsible for extracting web data, organizing it in excel, and communicating findings clearly to our team. role details duration: 3 months experience required: 2–3 years location: vadodara key responsibilities extract data from various websites using web scraping tools. clean, organize, and analyze the collected datasets. write database queries to pull and manage information. present data findi…",['excel'],1,excel
data analyst,Data Analyst,Rentomojo,"Bangalore, Karnataka",600000.0,900000.0,"About the Role Data Analyst 2 to 5 years Full Time We are hiring a sharp, analytically rigorous Data Analyst who thrives at the intersection of data engineering, automation, and business storytelling. This is not a pure reporting role. You will architect automated data pipelines, build scalable reporting workflows, and bring a growth marketing mindset to every analysis. If you love turning messy data into clear decisions, this is your seat. Key Responsibilities SQL and Data Infrastructure Desig…",IT Jobs,2026-06-11T06:21:45Z,https://www.adzuna.in/details/5759267308?utm_medium=api&utm_source=3a1fdfd4,"about the role data analyst 2 to 5 years full time we are hiring a sharp, analytically rigorous data analyst who thrives at the intersection of data engineering, automation, and business storytelling. this is not a pure reporting role. you will architect automated data pipelines, build scalable reporting workflows, and bring a growth marketing mindset to every analysis. if you love turning messy data into clear decisions, this is your seat. key responsibilities sql and data infrastructure desig…","['sql', 'scala']",2,"sql, scala"
data analyst,Data Analyst,Weekday AI,India,,,"This role is for one of Weekday’s clients Min Experience: 1 years Location: Nagpur JobType: full-time We're looking for a Data Analyst who is adaptable, quick to learn, and comfortable working across multiple projects and business functions. Unlike a dedicated role tied to one domain, this position will rotate/support across different projects as business priorities shift, making it ideal for someone who's curious, eager to build breadth, and thrives in a dynamic environment. Requirements Key R…",IT Jobs,2026-07-10T15:19:19Z,https://www.adzuna.in/details/5795450231?utm_medium=api&utm_source=3a1fdfd4,"this role is for one of weekday’s clients min experience: 1 years location: nagpur jobtype: full-time we're looking for a data analyst who is adaptable, quick to learn, and comfortable working across multiple projects and business functions. unlike a dedicated role tied to one domain, this position will rotate/support across different projects as business priorities shift, making it ideal for someone who's curious, eager to build breadth, and thrives in a dynamic environment. requirements key r…",[],0,
data analyst,Data Analyst,Proof of Skill,"Andheri, Mumbai",1200000.0,1200000.0,"Analyzing hiring and candidate data to improve decision-making, shortlisting, and overall system efficiency. Skills: Logical/analytical thinking, Excel/Google Sheets, basic SQL, data interpretation, data visualization, attention to detail. Responsibilities: Analyze candidate and hiring data, build dashboards and reports, improve shortlisting/scoring systems, track hiring funnel metrics, work with ops/product teams, ensure data accuracy. This is a remote position.",IT Jobs,2026-07-03T06:18:29Z,https://www.adzuna.in/details/5786180968?utm_medium=api&utm_source=3a1fdfd4,"analyzing hiring and candidate data to improve decision-making, shortlisting, and overall system efficiency. skills: logical/analytical thinking, excel/google sheets, basic sql, data interpretation, data visualization, attention to detail. responsibilities: analyze candidate and hiring data, build dashboards and reports, improve shortlisting/scoring systems, track hiring funnel metrics, work with ops/product teams, ensure data accuracy. this is a remote position.","['sql', 'excel', 'data visualization']",3,"sql, excel, data visualization"
